id,category,carbs,calories,protein,fats,fiber,name,restaurant,alcohol,food_type,quantity,unit,old_quantity,show
3163,Leafy Vegetables,1,8,1,0,0,"Cabbage,Chinese (Pak-Choi),Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3164,Leafy Vegetables,2,6,1,0,0,"Cabbage,Chinese (Pe-Tsai),Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3165,Leafy Vegetables,5,18,0,0,0,"Cardoon,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3166,Leafy Vegetables,10,34,1,0,0,"Carrots,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3167,Leafy Vegetables,5,17,0,0,0,"Carrots,Canned,No Salt,Sol&Liquids","",1,veg,100,gm,100,t
3168,Leafy Vegetables,5,20,0,0,0,"Carrots,Canned,No Salt ,Drnd Sol","",1,veg,100,gm,100,t
3169,Leafy Vegetables,8,24,1,0,0,"Carrotsfrozen,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3170,Leafy Vegetables,4,17,1,0,0,"Cauliflower,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3171,Leafy Vegetables,3,12,1,0,0,"Cauliflowerfrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3172,Leafy Vegetables,5,29,0,0,0,"Celeriac,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3173,Leafy Vegetables,4,14,0,0,0,"Celery,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3174,Leafy Vegetables,4,16,1,0,0,"Chard,Swiss,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3175,Leafy Vegetables,5,15,0,0,0,"Chayote,Fruit,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3176,Leafy Vegetables,4,15,1,0,0,"Chrysanthemum,Garland,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3177,Leafy Vegetables,4,20,2,0,0,"Collards,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3178,Leafy Vegetables,7,32,2,0,0,"Collardsfrozen,Chopd,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3179,Leafy Vegetables,25,114,3,1,0,"Corn,Swt,Yel,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3180,Leafy Vegetables,15,67,1,0,0,"Corn,Swt,Yel,Canned,No Salt,Sol&Liquids","",1,veg,100,gm,100,t
3181,Leafy Vegetables,18,78,1,0,0,"Corn,Swt,Yel,Canned,Crm Style,No Salt","",1,veg,100,gm,100,t
3182,Leafy Vegetables,19,83,2,0,0,"Corn,Swt,Yel,Canned,Vacuum Pk,No Salt","",2,veg,100,gm,100,t
3183,cereals,19,83,2,0,0,"Corn,Swt,Yelfrozen,Krnls,Cut Off Cob,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3184,cereals,22,97,3,0,0,"Corn,Swt,Yelfrozen,Krnls On Cob,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3185,Pulses and Legumes,20,77,3,0,0,"Cowpeas (Blackeyes),Immat Seeds,Cooked,Bld,Drnd,W/Salt","",5,veg,100,gm,100,t
3186,pulses and Legumes,23,109,8,0,0,"Cowpeas (Blackeyes),Immat Seedsfrozen,Cooked,Bld,Drnd,W/Salt","",6,veg,100,gm,100,t
3187,Pulses and Legumes,7,41,2,0,0,"Cowpeas,Young Pods W/Seeds,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3188,Pulses and Legumes,2,30,4,0,0,"Cowpeas,Leafy Tips,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3189,Leafy Vegetables,3,25,1,0,0,"Cress,Garden,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3190,Leafy Vegetables,6,27,2,0,0,"Dandelion Grns,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3191,Other vegetables,6,21,0,0,0,"Eggplant,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3192,Other vegetables,3,17,0,0,0,"Gourd,White-Flowered (Calabash),Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3362,Other vegetables,3,10,1,0,0,"Nopales,Raw","",2,veg,100,gm,100,t
3193,Other vegetables,14,63,0,0,0,"Gourd,Dishcloth (Towelgourd),Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3194,Other vegetables,11,66,5,0,0,"Horseradish-Tree,Leafy Tips,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3195,Other vegetables,8,25,2,0,0,"Horseradish-Tree,Pods,Cooked,Bld,Drnd,W/Salt","",4,veg,100,gm,100,t
3196,Pulses and Legumes,9,51,2,0,0,"Hyacinth-Beans,Immat Seeds,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3197,Leafy Vegetables,7,37,3,0,0,"Jute,Potherb,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3198,Leafy Vegetables,5,25,1,0,0,"Kale,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3199,Leafy Vegetables,5,28,2,0,0,"Kalefrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3200,Leafy Vegetables,5,33,1,0,0,"Kale,Scotch,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3201,Other vegetables,6,30,1,0,0,"Kohlrabi,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3202,Other vegetables,5,30,3,0,0,"Lambs Quarters,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3203,Leafy Vegetables,7,31,0,0,0,"Leeks,(Bulb&Lower Leaf-Portion),Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3204,Leafy Vegetables,16,58,1,0,0,"Lotus Root,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3205,Miscellaneous,5,24,2,0,0,"Mushrooms,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3206,Miscellaneous,14,56,1,0,0,"Mushrooms,Shiitake,Cooked,W/Salt","",2,veg,100,gm,100,t
3207,Leafy Vegetables,2,11,2,0,0,"Mustard Grns,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3208,Leafy Vegetables,3,12,2,0,0,"Mustard Grnsfrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3209,Leafy Vegetables,2,11,1,0,0,"Mustard Spinach,(Tendergreen),Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
